c0_corrected,c0_error,phi,v_obs,v_bar,radius_kpc,g_obs,g_N
32.46331089162055,31.561499934969135,0.46132783473973993,63.4,39.970273954527755,0.74,1.76015484051777e-10,6.995948573330297e-11
33.11431235975384,28.12740383969071,0.5018014224768186,71.9,43.5310659184909,0.85,1.9708017231519958e-10,7.224100110556213e-11
37.17009220295058,29.829933977647826,0.4807002792109591,76.4,47.24195698740686,0.96,1.9702419529055953e-10,7.533357974184489e-11
43.07639870313578,34.36170812171002,0.43370543522114546,78.1,50.616854900319524,1.07,1.8472359343674478e-10,7.759086861981455e-11
47.363503543230884,37.1077221898063,0.41025119750704664,80.5,53.410426884644906,1.17,1.7947748586115406e-10,7.900786291551033e-11
52.61558617955022,40.82517683571776,0.3830130242082368,82.8,56.45337279560894,1.28,1.7356205443940375e-10,8.068148746354505e-11
56.491526708470516,42.85440740154701,0.36992805408008445,85.6,59.131112791828976,1.38,1.7205706932664582e-10,8.210263508880687e-11
61.5172060913583,46.23665253065969,0.35039870884858443,88.0,61.98783187045664,1.48,1.6955387013714946e-10,8.413084593018163e-11
63.26663195569412,45.234284493985456,0.35591636204354266,92.0,64.44887120811349,1.59,1.724974219135312e-10,8.465207041742582e-11
69.45973780000239,51.08043993870217,0.32645677073359786,92.4,66.66434204280426,1.7,1.627417940604628e-10,8.471149593991842e-11
69.54000936149625,49.1547655330108,0.33547527897091006,95.1,67.9963271066901,1.8,1.628143227478937e-10,8.323432886872614e-11
71.5461590941499,50.10459915748404,0.3309504401496029,96.5,69.31023373211202,1.91,1.5798844977995542e-10,8.150146922599274e-11
67.2449663109636,43.34854498859848,0.36690673154596304,101.0,69.98030079958217,2.02,1.6364225534672716e-10,7.856051442798202e-11
70.31030933861052,46.659442808706395,0.3481344292172072,99.9,70.52979583126553,2.13,1.5182925159511834e-10,7.567801429445109e-11
67.0796088963346,42.12683470245583,0.37449090993762346,103.0,70.82684378115405,2.23,1.5416069679646835e-10,7.289453891289753e-11
67.32876375429939,41.80582877150714,0.37654879222305254,104.0,71.36746597715236,2.34,1.4978037013033773e-10,7.053241825503652e-11
64.71097866932537,38.37641958335465,0.4004286533077601,107.0,71.6935066794755,2.44,1.5204838349818853e-10,6.826119678505785e-11
64.99536580219751,38.584574841619904,0.39887200037832693,107.0,71.80519549447658,2.54,1.4606222666755118e-10,6.577821734937053e-11
66.42150820405283,40.109456161090456,0.3879076624868528,106.0,71.91834884089039,2.65,1.373946856772521e-10,6.32466635688869e-11
65.37186725467413,38.8613050208117,0.3968254905566214,107.0,71.95229600228195,2.76,1.3441958541144204e-10,6.078330492077358e-11
39.747780351411215,23.318527532872523,0.5758938285396975,104.0,58.469021712356366,7.07,4.957370100494912e-11,1.56688210020891e-11
30.99373013989716,18.331656186065413,0.6876675800093383,106.0,53.29121597411716,8.49,4.2885267025290706e-11,1.0839460018152572e-11
239.20446842778802,1108.821760481597,0.01549461921454792,43.1,42.437329086548324,2.46,2.446941076669354e-11,2.3722751318569573e-11
108.23956214929652,87.02433793098425,0.08333003738358889,50.1,46.09437709742914,3.07,2.6493610948678598e-11,2.242650532720007e-11
76.83143443842249,28.98739433695223,0.1705713018345631,58.1,48.98893038228126,3.68,2.972408704105497e-11,2.11325630829271e-11
67.44228522776847,18.37213300821763,0.22887178811959707,64.6,51.38481098534858,4.3,3.144855235195707e-11,1.989780403623265e-11
64.19479808129174,15.157738944769385,0.25892053187617026,68.5,52.87407871537811,4.91,3.096732764617292e-11,1.845050309326794e-11
60.53190430588377,12.528645445407383,0.29245881231980286,72.3,53.96659892933776,5.52,3.0686092873848235e-11,1.7096810514055997e-11
59.94639220696537,11.821301455673742,0.3035075383190575,74.2,54.776244851212645,6.14,2.905651455242864e-11,1.583507845666359e-11
54.81868048123361,9.346649175035084,0.3524552574064453,78.9,55.463545685431974,6.75,2.98850723698423e-11,1.4767791939703796e-11
52.75139167995689,8.28692689850043,0.3804301069390638,82.4,56.32594872702989,7.37,2.9853208475972813e-11,1.3949338765431667e-11
52.608631423825706,7.989731035980366,0.38934010466277014,84.3,57.11357106677887,7.98,2.8857342643712326e-11,1.3245849555840345e-11
53.562510454720645,8.046904595393572,0.38758473779574615,85.4,57.96047791383367,8.59,2.7512284627636018e-11,1.26728656284682e-11
